Date,Open,High,Low,Close,Volume
2023-01-01,254.7418644283186,255.09060474362968,252.89026296594048,253.94,11354
2023-01-02,255.12891708933125,256.40987580028076,252.96061142000414,254.43,52007
2023-01-03,251.03385788529567,252.61171802919844,249.74269745809966,251.74,49996
2023-01-04,253.53047900333888,253.601729380347,251.13830614688868,252.89,69946
2023-01-05,255.63527278918477,257.13603638635334,255.18721639268833,255.36,55269
2023-01-06,257.7765241355819,258.698367772604,255.77366608840273,257.36,69097
2023-01-07,260.2242848274406,261.29564105197323,258.1858730408636,259.7,55993
2023-01-08,262.0025867437501,262.8652595247298,260.98185064120497,261.26,84692
2023-01-09,260.6292171643263,260.46092659513494,258.0342727776295,259.95,7480
2023-01-10,260.1666610562081,261.40234301431633,259.2499489993289,260.48,87004
2023-01-11,259.3411263840703,259.4176423010948,258.99376211114424,259.41,40373
2023-01-12,259.56244571293445,260.7571278041147,259.34989326901524,260.52,94342
2023-01-13,262.6008037007742,263.5877533961917,261.3469843874777,262.37,20946
2023-01-14,261.5381990613727,262.10878596150053,261.12923814680875,262.03,81773
2023-01-15,263.75911057847685,265.4585703430356,264.2349634674323,264.52,27843
2023-01-16,263.95223827515616,265.64791061660287,262.3484642246988,263.89,49125
2023-01-17,263.1879163037031,264.67465854149884,261.85137057926875,263.34,68889
2023-01-18,264.25416352835987,264.51587518644845,262.01416645452485,263.77,24393
2023-01-19,266.25676821160914,266.55110030269606,265.50682192392134,266.02,46851
2023-01-20,268.3371295979098,269.26341227894494,267.6921512696714,267.88,68036
2023-01-21,269.3923024162106,270.69547699556125,267.9770780430541,268.86,6192
2023-01-22,268.3285377141232,268.4745762304354,266.8088641742384,268.24,70006
2023-01-23,267.9622442728283,269.4102838446697,266.6362183002469,268.37,14616
2023-01-24,267.53757208172965,268.32962811247023,267.12874270394644,268.28,80644
2023-01-25,267.0467761535828,268.1396239058483,266.1125694485181,267.81,11942
2023-01-26,268.10337969676385,269.85419793367885,267.0817131065012,268.81,88557
2023-01-27,270.04255835334703,270.3771649558165,269.14856592476553,269.87,2869
2023-01-28,270.5873348571222,270.0643799334161,269.3487882856896,269.81,77858
2023-01-29,268.880958201191,269.8733191852013,266.81641542817835,268.74,45042
2023-01-30,270.2939846633076,270.43118805896796,268.9259724782207,269.53,16522
2023-01-31,272.66977802619846,273.6654554048604,272.4953149403297,272.93,47125
2023-02-01,272.3428000725922,272.6351280895293,270.3048470051206,272.12,89435
2023-02-02,274.6712667395695,275.87394751187855,273.09366763294213,275.08,2942
2023-02-03,276.0563306454833,276.0221873285854,274.2384838599433,275.09,67672
2023-02-04,275.89672608483227,277.55218421303823,274.4870548758616,275.71,9916
2023-02-05,274.5256819715836,275.25607673378323,274.19630240727173,274.46,43297
2023-02-06,273.78119739635116,276.2014849135975,272.77921117691085,274.23,88932
2023-02-07,274.4774142653753,275.55359983087936,274.2374825979672,274.49,98224
2023-02-08,276.56813943259505,277.7638427062737,275.0396029710555,276.76,92586
2023-02-09,273.96939943125466,275.93253615952136,272.9970350461296,274.32,69823
2023-02-10,275.1086599699983,276.04030828399436,274.2801000727284,274.62,28131
2023-02-11,278.0786406516757,278.2115649628876,276.05179987547035,277.96,38195
2023-02-12,280.8641397237782,283.462464979528,281.0669295908052,281.7,69366
2023-02-13,278.9668118333296,279.351281521263,277.18679745604976,278.41,72000
2023-02-14,280.85383039779924,281.7395540477653,280.3422880539731,281.33,20619
2023-02-15,275.29067201175343,276.3897239574512,274.5241841715188,276.06,42107
2023-02-16,279.46521693373063,281.0241609161926,278.9107720139335,279.06,87872
2023-02-17,279.7257752832643,280.27955234593685,278.4935796557375,279.98,16433
2023-02-18,276.13954390826177,278.93059275397013,276.85226115678785,277.11,57141
2023-02-19,277.534368352968,278.19370694272703,277.55180347267,277.59,60825
2023-02-20,279.8513237492078,281.68914182910146,277.9699683058431,279.95,5421
2023-02-21,283.0865845238273,283.67895300024514,281.42460028669836,282.46,92816
2023-02-22,282.31762879382876,283.86603224239707,282.32887741248874,282.66,37619
2023-02-23,285.93613030071504,287.93813875425747,285.36272320600773,286.75,7365
2023-02-24,286.93208816203185,289.8046494155603,286.71622269662345,287.91,93967
2023-02-25,291.59779152995554,293.6851214520201,291.5615146338096,292.57,36514
2023-02-26,293.64269863270806,295.7885889113038,292.79169707984033,294.34,15659
2023-02-27,293.6404006083214,294.3830512816585,292.5896991796106,293.8,26573
2023-02-28,290.72692297148353,292.52342545830203,290.4342609373275,291.28,53059
2023-03-01,294.60807691180344,294.3407019988728,293.3408710498228,294.22,91814
2023-03-02,293.4309408025471,294.25390336957355,291.74515147236525,292.5,78223
2023-03-03,292.71555986895845,293.68431750446285,293.5169586245184,293.52,17365
2023-03-04,294.72289086983307,296.30928785070256,294.8598177170574,295.69,59113
2023-03-05,295.276095954299,295.80800433213284,293.6522627021708,294.67,54538
2023-03-06,293.2960480864726,294.8247918847517,291.98011297193176,293.76,46357
2023-03-07,292.6624683019374,293.52362531543895,291.8665037583628,292.89,73099
2023-03-08,289.251230987786,289.4000296387349,287.9656083019281,288.81,98947
2023-03-09,292.63757522238126,293.80755649915005,291.0866744734626,292.93,74333
2023-03-10,289.45910586740615,290.4916386395534,288.94626141851484,290.1,23835
2023-03-11,288.01200492006154,290.5651464068193,287.2105165872684,288.99,84821
2023-03-12,287.98643645144267,289.16527955632375,287.4665586300111,288.97,1983
2023-03-13,285.9379542546476,287.55022744563956,284.9976498127467,286.41,71433
2023-03-14,292.4075987541983,292.283286150842,290.71064865635185,291.66,24250
2023-03-15,293.8917978957636,295.06520207244677,294.0165964913997,294.32,37228
2023-03-16,297.6944637795668,298.38237894526014,295.9206736755915,296.8,61809
2023-03-17,300.5999427341084,300.1327824960903,299.1434173863242,299.66,7793
2023-03-18,301.631248904801,301.2287596326801,299.42747386189126,300.91,76674
2023-03-19,302.0800392968194,303.7263775818132,300.86066977764244,302.74,93198
2023-03-20,306.33156473816143,305.895947284419,305.23022686699727,305.4,56567
2023-03-21,304.4324506078515,305.37113368426856,302.5276265294203,304.17,41128
2023-03-22,305.3611697742336,305.88031789138967,304.63189874811326,304.93,70453
2023-03-23,306.1284474461305,305.7078019570309,304.301700826824,305.44,66681
2023-03-24,306.9978050053399,308.63715141593326,305.5539233148629,307.21,66766
2023-03-25,307.85542816849187,308.55435371075123,307.3019335266306,307.95,19311
2023-03-26,306.80431030757484,307.68534071226173,305.9925412266142,306.51,76517
2023-03-27,307.7426567614165,307.9222212601201,305.50050410326634,307.16,25326
2023-03-28,310.74814407663763,310.3852666716182,307.967788123142,309.75,90120
2023-03-29,312.27874408659756,313.7338336046393,310.5285152682062,311.92,99045
2023-03-30,310.443946846083,311.8725272378379,308.9781220977065,310.2,81770
2023-03-31,310.3802654691949,312.0329478366769,308.81794199691353,310.33,28971
2023-04-01,310.9232986359413,311.6361626002066,309.79727937908297,310.14,68141
2023-04-02,311.329840504246,312.2101519596875,310.2830100035057,311.47,62506
2023-04-03,311.7062011734062,312.69444964302033,310.83813872305257,311.76,3266
2023-04-04,308.86272546251746,310.61932426340707,308.86624996577325,309.85,11425
2023-04-05,312.1366117428989,312.3073261195138,311.1408526980036,312.0,71885
2023-04-06,309.02555244839306,310.64561131421186,308.8804641629007,309.97,2600
2023-04-07,310.2294068813025,309.9282687575598,308.64890844295945,309.66,42271
2023-04-08,310.7249359672132,312.5582785810018,309.6254333573704,311.57,4328
2023-04-09,310.4331176358969,311.80362827742306,309.4255940813511,310.33,19827
2023-04-10,310.9382443530699,312.8724643987171,309.8564656173185,311.75,27187
