file,avg_close,max_price,min_price,volatility
stock_data_1.csv,239.424,271.469,212.28,16.8501
stock_data_3.csv,253.822,275.009,232.172,11.7387
stock_data_2.csv,120.253,133.049,109.899,4.2803
stock_data_6.csv,246.818,260.625,231.967,7.09976
stock_data_7.csv,433.67,466.736,395.375,21.069
stock_data_5.csv,507.06,539.469,478.468,16.8651
stock_data_49.csv,253.687,272.698,214.323,15.043
stock_data_48.csv,95.1417,108.06,80.9737,5.41309
stock_data_4.csv,447.859,466.688,418.128,12.0081
stock_data_13.csv,368.249,389.955,341.687,11.3617
stock_data_12.csv,524.16,567.812,496.578,21.8279
stock_data_10.csv,521.637,545.987,483.382,17.3962
stock_data_38.csv,267.285,314.868,246.334,15.2973
stock_data_39.csv,141.19,161.007,106.526,15.9103
stock_data_11.csv,296.314,314.697,282.827,6.98452
stock_data_29.csv,259.409,292.996,227.799,17.1153
stock_data_15.csv,238.413,276.006,191.524,26.1185
stock_data_14.csv,532.331,574.687,470.628,30.3824
stock_data_28.csv,306.321,338.572,270.645,19.8588
stock_data_16.csv,291.953,332.513,259.181,15.874
stock_data_17.csv,230.367,255.94,207.873,13.7906
stock_data_32.csv,359.703,379.072,344.496,9.16087
stock_data_26.csv,432.076,470.114,393.735,22.9213
stock_data_27.csv,448.804,473.399,416.18,17.6371
stock_data_33.csv,283.889,313.734,249.743,17.853
stock_data_25.csv,491.106,528.468,457.924,21.0135
stock_data_31.csv,460.366,499.888,439.047,15.0684
stock_data_19.csv,328.667,354.738,298.902,17.3517
stock_data_18.csv,193.415,210.529,180.57,6.20283
stock_data_30.csv,220.885,264.57,184.415,18.7075
stock_data_24.csv,395.274,429.413,374.002,13.641
stock_data_20.csv,353.838,375.436,339.169,9.17864
stock_data_34.csv,143.613,169.315,115.731,10.9561
stock_data_35.csv,459.253,481.052,439.823,11.0322
stock_data_21.csv,523.497,568.963,486.603,24.6023
stock_data_37.csv,222.713,248.041,206.437,11.3073
stock_data_23.csv,440.209,465.219,408.484,15.5494
stock_data_22.csv,340.492,371.356,314.628,14.5347
stock_data_36.csv,478.143,499.537,456.561,12.2604
stock_data_9.csv,341.494,367,309.833,17.909
stock_data_45.csv,158.855,199.778,128.323,19.2637
stock_data_44.csv,405.934,429.514,386.3,11.5483
stock_data_50.csv,445.066,460.273,412.523,11.2564
stock_data_8.csv,139.131,177.64,106.293,25.6333
stock_data_46.csv,357.169,390.111,327.403,15.6897
stock_data_47.csv,490.739,527.582,465.494,18.3356
stock_data_43.csv,444.743,481.113,393.245,25.3578
stock_data_42.csv,479.318,499.408,455.272,13.8202
stock_data_40.csv,474.679,497.486,446.843,13.8103
stock_data_41.csv,370.721,394.583,345.445,15.0844
